"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","218","nullTandoor Wali Gali, Swami Shraddhanand Park, Bhalswa Dairy, Jahangirpura, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2695,2023,3589
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","219","461, Block AG, Sanjay Gandhi Transport Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2789,1983,3921
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","220","Shah Alam Bandh Marg, Adarsh Nagar Extension, Adarsh Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2487,1644,3760
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","221","Srinagar - Kanyakumari Highway, Bhalswa Jahangirpuri, Jahangirpuri, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2656,1912,3689
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","222","Sector E, Mahipalpur Village, Vasant Kunj, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2128,1433,3158
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","223","Urban Extension Road II, Indira Gandhi International Airport, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2233,1544,3228
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","224","Main Road, Bharthal, Sector 27 Dwarka, Bharthal, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2948,2101,4136
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","225","0 Netaji Road, A Block, Block C, Adarsh Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2243,1414,3555
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","226","Unnamed Road, Model Town, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2177,1509,3139
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","227","300 Lok Marg, Dhaka Colony, Mukherjee Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1540,998,2376
